"name"	"attr"	"type"
"Moro's bloodrider 1"	"Book of the Stranger"	"last seen"
"Moro's bloodrider 1"	"Dead"	"status"
"Moro's bloodrider 1"	"Daenerys Targaryen"	"death"
"Moro's bloodrider 1"	"Dothraki Sea"	"origin"
"Moro's bloodrider 1"	"Moro"	"allegiance"
"Moro's bloodrider 1"	"Dothraki"	"culture"
"Moro's bloodrider 1"	"Great Stallion"	"religion"
"Moro's bloodrider 2"	"The Red Woman"	"first seen"
"Moro's bloodrider 2"	"Book of the Stranger"	"last seen"
"Moro's bloodrider 2"	"Bloodrider"	"titles"
"Moro's bloodrider 2"	"Dead"	"status"
"Moro's bloodrider 2"	"Daenerys Targaryen"	"death"
"Moro's bloodrider 2"	"Dothraki Sea"	"origin"
"Moro's bloodrider 2"	"Moro"	"allegiance"
"Moro's bloodrider 2"	"Dothraki"	"culture"
"Moro's bloodrider 2"	"Great Stallion"	"religion"
"Moro's wife 1"	"The Red Woman"	"appeared in"
"Moro's wife 1"	"Khaleesi"	"titles"
"Moro's wife 1"	"Alive"	"status"
"Moro's wife 1"	"Dothraki Sea"	"origin"
"Moro's wife 1"	"Moro"	"allegiance"
"Moro's wife 1"	"Dothraki"	"culture"
"Moro's wife 1"	"Great Stallion"	"religion"
"Moro's wife 1"	"Moro"	"spouse"
"Moro's wife 2"	"The Red Woman"	"first seen"
"Moro's wife 2"	"Khaleesi"	"titles"
"Moro's wife 2"	"Alive"	"status"
"Moro's wife 2"	"Dothraki Sea"	"origin"
"Moro's wife 2"	"Moro"	"allegiance"
"Moro's wife 2"	"Dothraki"	"culture"
"Moro's wife 2"	"Great Stallion"	"religion"
"Moro's wife 2"	"Moro"	"spouse"
"Mully"	"The Mountain and the Viper"	"appeared in"
"Mully"	"Dead"	"status"
"Mully"	"Wildlings"	"death"
"Mully"	"Night's Watch"	"allegiance"
"Mummer (Margaery Tyrell)"	"The Door"	"first seen"
"Mummer (Margaery Tyrell)"	"Alive"	"status"
"Mummer (Margaery Tyrell)"	"Braavos"	"origin"
"Mummer (Margaery Tyrell)"	"Braavos"	"culture"
"Mummer 1"	"The Door"	"first seen"
"Mummer 1"	"Alive"	"status"
"Mummer 1"	"Braavos"	"origin"
"Mummer 1"	"Izembaro's troupe"	"allegiance"
"Mummer 1"	"Braavos"	"culture"
"Mummer 2"	"The Door"	"first seen"
"Mummer 2"	"Alive"	"status"
"Mummer 2"	"Braavos"	"origin"
"Mummer 2"	"Izembaro"	"allegiance"
"Mummer 2"	"Braavos"	"culture"
"Mummer 3"	"The Door"	"first seen"
"Mummer 3"	"Alive"	"status"
"Mummer 3"	"Braavos"	"origin"
"Mummer 3"	"Izembaro's troupe"	"allegiance"
"Mummer 3"	"Braavos"	"culture"
"Musician 1 (The Door)"	"The Door"	"first seen"
"Musician 1 (The Door)"	"Alive"	"status"
"Musician 1 (The Door)"	"Braavos"	"origin"
"Musician 1 (The Door)"	"Izembaro's troupe"	"allegiance"
"Musician 1 (The Door)"	"Braavos"	"culture"
"Musician 1 (The Lion and the Rose)"	"The Lion and the Rose"	"appeared in"
"Musician 1 (The Lion and the Rose)"	"Alive"	"status"
"Musician 1 (The Lion and the Rose)"	"For hire"	"allegiance"
"Musician 2 (The Door)"	"The Door"	"first seen"
"Musician 2 (The Door)"	"Alive"	"status"
"Musician 2 (The Door)"	"Braavos"	"origin"
"Musician 2 (The Door)"	"Izembaro's troupe"	"allegiance"
"Musician 2 (The Door)"	"Braavos"	"culture"
"Musician 3 (The Door)"	"The Door"	"first seen"
"Musician 3 (The Door)"	"Alive"	"status"
"Musician 3 (The Door)"	"Braavos"	"origin"
"Musician 3 (The Door)"	"Izembaro's troupe"	"allegiance"
"Musician 3 (The Door)"	"Braavos"	"culture"
"Musician 3 (The Lion and the Rose)"	"The Lion and the Rose"	"appeared in"
"Musician 3 (The Lion and the Rose)"	"Alive"	"status"
"Musician 3 (The Lion and the Rose)"	"For hire"	"allegiance"
"Musician 4 (The Door)"	"The Door"	"first seen"
"Musician 4 (The Door)"	"Alive"	"status"
"Musician 4 (The Door)"	"Braavos"	"origin"
"Musician 4 (The Door)"	"Izembaro's troupe"	"allegiance"
"Musician 4 (The Door)"	"Braavos"	"culture"
"Musician 5 (The Door)"	"The Door"	"first seen"
"Musician 5 (The Door)"	"Alive"	"status"
"Musician 5 (The Door)"	"Braavos"	"origin"
"Musician 5 (The Door)"	"Izembaro's troupe"	"allegiance"
"Musician 5 (The Door)"	"Braavos"	"culture"
"Mycah"	"The Kingsroad"	"appeared in"
"Mycah"	"The Children"	"mentioned in"
"Mycah"	"Dead"	"status"
"Mycah"	"Sandor Clegane"	"death"
"Mycah"	"Northmen"	"culture"
"Night's Watch archer"	"The Watchers on the Wall"	"appeared in"
"Night's Watch archer"	"Uncertain"	"status"
"Night's Watch archer"	"Night's Watch"	"allegiance"
"Night's Watch man (Breaker of Chains)"	"Breaker of Chains"	"appeared in"
"Night's Watch man (Breaker of Chains)"	"Alive"	"status"
"Night's Watch man (Breaker of Chains)"	"Night's Watch"	"allegiance"
"Night's Watch man 2"	"The Red Woman"	"first seen"
"Night's Watch man 2"	"Alive"	"status"
"Night's Watch man 2"	"Night's Watch"	"allegiance"
"Night's Watchman (Baelor)"	"Baelor"	"appeared in"
"Night's Watchman (Baelor)"	"Alive"	"status"
"Night's Watchman (Baelor)"	"Night's Watch"	"allegiance"
"Northern Lord"	"The North Remembers"	"appeared in"
"Northern Lord"	"Alive"	"status"
"Northern Lord"	"House Stark"	"allegiance"
"Northern Lord"	"Northmen"	"culture"
"Norvoshi pit fighter"	"The"	"appeared in"
"Norvoshi pit fighter"	"Dead"	"status"
"Norvoshi pit fighter"	"Great Games"	"death"
"Old man"	"Dead"	"status"
"Old man"	"Ygritte"	"death"
"Old man"	"The Gift"	"origin"
"Old man"	"The Night’s Watch"	"allegiance"
"Old man"	"Northmen"	"culture"
"Old woman"	"Dead"	"status"
"Old woman"	"Ramsay Bolton"	"death"
"Old woman"	"House Stark"	"allegiance"
"Old woman"	"Northmen"	"culture"
"Old woman prisoner"	"Garden of Bones"	"appeared in"
"Old woman prisoner"	"Uncertain"	"status"
"Olly's mother"	"Breaker of Chains"	"appeared in"
"Olly's mother"	"Dead"	"status"
"Olly's mother"	"Styr"	"death"
"Olly's mother"	"The Gift"	"origin"
"Olly's mother"	"Northmen"	"culture"
"Olly's mother"	"Guymon"	"spouse"
"Olly's mother"	"Olly"	"children"
"Orphan kid"	"Valar Dohaeris"	"appeared in"
"Orphan kid"	"Alive"	"status"
"Orphan kid"	"King's Landing"	"origin"
"Oznak zo Pahl"	"Breaker of Chains"	"appeared in"
"Oznak zo Pahl"	"Dead"	"status"
"Oznak zo Pahl"	"Daario Naharis"	"death"
"Oznak zo Pahl"	"Meereen"	"origin"
"Oznak zo Pahl"	"House of Pahl"	"allegiance"
"Oznak zo Pahl"	"Meereen"	"culture"
"Pentoshi servant"	"Alive"	"status"
"Pentoshi servant"	"Pentos"	"origin"
"Pentoshi servant"	"Illyrio Mopatis"	"allegiance"
"Pentoshi servant"	"Pentos"	"culture"
"Vayon Poole"	"The Pointy End"	"appeared in"
"Vayon Poole"	"The Kingsroad"	"mentioned in"
"Vayon Poole"	"Steward"	"titles"
"Vayon Poole"	"Dead"	"status"
"Vayon Poole"	"House Lannister"	"death"
"Vayon Poole"	"House Poole"	"allegiance"
"Vayon Poole"	"Northmen"	"culture"
"Vayon Poole"	"The Old"	"religion"
"Vayon Poole"	"Jeyne Poole"	"children"
"Portan"	"The North Remembers"	"appeared in"
"Portan"	"Alive"	"status"
"Portan"	"House Stark"	"allegiance"
"Portan"	"Northmen"	"culture"
"Protestor"	"The"	"appeared in"
"Protestor"	"Alive"	"status"
"Qartheen woman"	"The"	"appeared in"
"Qartheen woman"	"Alive"	"status"
"Qartheen woman"	"Qarth"	"origin"
"Qartheen woman"	"Qarth"	"culture"
"Qorro"	"Book of the Stranger"	"appeared in"
"Qorro"	"Khal"	"titles"
"Qorro"	"Dead"	"status"
"Qorro"	"Daenerys Targaryen"	"death"
"Qorro"	"Dothraki Sea"	"origin"
"Qorro"	"Himself"	"allegiance"
"Qorro"	"Dothraki"	"culture"
"Qorro"	"Great Stallion"	"religion"
"Ray"	"The Broken Man"	"appeared in"
"Ray"	"No One"	"mentioned in"
"Ray"	"Septon"	"titles"
"Ray"	"Dead"	"status"
"Ray"	"Brotherhood Without Banners"	"death"
"Ray"	"His Congregation"	"allegiance"
"Red Priestess (High Sparrow)"	"Alive"	"status"
"Red Priestess (High Sparrow)"	"Yi Ti"	"origin"
"Red Priestess (High Sparrow)"	"Volantis"	"culture"
"Red Priestess (High Sparrow)"	"R'hllor"	"religion"
"Rennick"	"Garden of Bones"	"appeared in"
"Rennick"	"Dead"	"status"
"Rennick"	"Grey Wind"	"death"
"Rennick"	"House Lannister"	"allegiance"
"Rhogar"	"The Sword in the Darkness"	"first seen"
"Rhogar"	"Uncertain"	"status"
"Rhogar"	"Lost Legion"	"allegiance"
"Riddell"	"No One"	"appeared in"
"Riddell"	"Dead"	"status"
"Riddell"	"Sandor Clegane"	"death"
"Riddell"	"Brotherhood Without Banners"	"allegiance"
"Ryger Rivers"	"Baelor"	"appeared in"
"Ryger Rivers"	"Alive"	"status"
"Ryger Rivers"	"The Twins"	"origin"
"Ryger Rivers"	"House Frey"	"allegiance"
"Ryger Rivers"	"Andal"	"culture"
"Ryger Rivers"	"Walder Frey"	"father"
"Ryger Rivers"	"Walder Rivers"	"siblings"
"Ros's dissatisfied customer"	"The Night Lands"	"appeared in"
"Ros's dissatisfied customer"	"Alive"	"status"
"Jaremy Rykker"	"You Win or You Die"	"appeared in"
"Jaremy Rykker"	"Ranger"	"titles"
"Jaremy Rykker"	"Uncertain"	"status"
"Jaremy Rykker"	"Dun Fort"	"origin"
"Jaremy Rykker"	"House Targaryen"	"allegiance"
"Sally"	"Breaker of Chains"	"appeared in"
"Sally"	"Alive"	"status"
"Sally"	"Faith of the Seven"	"religion"
"Eldrick Sarsfield"	"Mhysa"	"appeared in"
"Eldrick Sarsfield"	"Knighthood"	"titles"
"Eldrick Sarsfield"	"Alive"	"status"
"Eldrick Sarsfield"	"Sarsfield"	"origin"
"Eldrick Sarsfield"	"House Sarsfield"	"allegiance"
"Scolera"	"Uncertain"	"status"
"Scolera"	"Faith of the Seven"	"allegiance"
"Scolera"	"Faith of the Seven"	"religion"
"Second Son"	"Dead"	"status"
"Second Son"	"Sons of the Harpy"	"death"
"Second Son"	"Meereen"	"origin"
"Second Son"	"House Targaryen"	"allegiance"
"Sellsword (High Sparrow)"	"Alive"	"status"
"Sellsword (High Sparrow)"	"Essos"	"origin"
"Septon "	"Septon"	"titles"
"Septon "	"Alive"	"status"
"Septon "	"Faith of the Seven"	"allegiance"
"Septon "	"Faith of the Seven"	"religion"
"Septon (Valar Morghulis)"	"Valar Morghulis"	"appeared in"
"Septon (Valar Morghulis)"	"Alive"	"status"
"Septon (Valar Morghulis)"	"Faith of the Seven"	"allegiance"
"Septon (Valar Morghulis)"	"Faith of the Seven"	"religion"
"Simpson"	"Mother's Mercy"	"appeared in"
"Simpson"	"Dead"	"status"
"Simpson"	"Stannis Baratheon"	"death"
"Simpson"	"House Bolton"	"allegiance"
"Simpson"	"Northmen"	"culture"
"Singing Lannister soldier"	"Uncertain"	"status"
"Singing Lannister soldier"	"House Lannister"	"allegiance"
"Sissy"	"Oathkeeper"	"first seen"
"Sissy"	"Alive"	"status"
"Sissy"	"Craster's Keep"	"origin"
"Sissy"	"Craster"	"allegiance"
"Sissy"	"Free Folk"	"culture"
"Sissy"	"White Walkers"	"religion"
"Sissy"	"Craster"	"father"
"Sissy"	"Craster"	"spouse"
"Sissy"	"Craster's wives"	"siblings"
"Slave (Breaker of Chains)"	"Breaker of Chains"	"first seen"
"Slave (Breaker of Chains)"	"Alive"	"status"
"Slave (Breaker of Chains)"	"Meereen"	"origin"
"Slave (Breaker of Chains)"	"Meereen"	"culture"
"Slave (Breaker of Chains)"	"Ghiscari religion"	"religion"
"Slaver (Unbowed, Unbent, Unbroken)"	"Unbowed, Unbent, Unbroken"	"appeared in"
"Slaver (Unbowed, Unbent, Unbroken)"	"Alive"	"status"
"Slaver (Unbowed, Unbent, Unbroken)"	"Malko"	"allegiance"
"Smitty"	"The Watchers on the Wall"	"appeared in"
"Smitty"	"Dead"	"status"
"Smitty"	"The Wall"	"death"
"Smitty"	"Night's Watch"	"allegiance"
"Son of the Harpy"	"The"	"appeared in"
"Son of the Harpy"	"Dead"	"status"
"Son of the Harpy"	"Mossador"	"death"
"Son of the Harpy"	"Meereen"	"origin"
"Son of the Harpy"	"Sons of the Harpy"	"allegiance"
"Son of the Harpy"	"Meereen"	"culture"
"Sorcerer"	"And Now His Watch is Ended"	"appeared in"
"Sorcerer"	"Uncertain"	"status"
"Sorcerer"	"Myr"	"origin"
"Sorcerer"	"Myr"	"culture"
"Sparring boy"	"The Wars to Come"	"first seen"
"Sparring boy"	"1 (<a href=\"#Appearances"	"appeared in"
"Sparring boy"	"Sam"	"also known as"
"Sparring boy"	"Alive"	"status"
"Sparring boy"	"The"	"origin"
"Sparring boy"	"House Royce"	"allegiance"
"Stableboy"	"The Pointy End"	"appeared in"
"Stableboy"	"Dead"	"status"
"Stableboy"	"Arya Stark"	"death"
"Stark guard (A Man Without Honor)"	"A Man Without Honor"	"appeared in"
"Stark guard (A Man Without Honor)"	"Uncertain"	"status"
"Stark guard (A Man Without Honor)"	"House Stark"	"allegiance"
"Stark guard (A Man Without Honor)"	"Northmen"	"culture"
"Stark guard (Fire and Blood)"	"Fire and Blood"	"appeared in"
"Stark guard (Fire and Blood)"	"Alive"	"status"
"Stark guard (Fire and Blood)"	"House Stark"	"allegiance"
"Stark guard (Fire and Blood)"	"Northmen"	"culture"
"Stark guard (The Pointy End)"	"The Pointy End"	"appeared in"
"Stark guard (The Pointy End)"	"Alive"	"status"
"Stark guard (The Pointy End)"	"House Stark"	"allegiance"
"Stark guard (The Pointy End)"	"Northmen"	"culture"
"Stark messenger"	"The"	"appeared in"
"Stark messenger"	"Uncertain"	"status"
"Stark messenger"	"House Stark"	"allegiance"
"Stark messenger"	"Northmen"	"culture"
"Stark soldier (Valar Morghulis)"	"Valar Morghulis"	"appeared in"
"Stark soldier (Valar Morghulis)"	"Dead"	"status"
"Stark soldier (Valar Morghulis)"	"Brienne"	"death"
"Stark soldier (Valar Morghulis)"	"House Stark"	"allegiance"
"Stark soldier (Valar Morghulis)"	"Northmen"	"culture"
"Lyanna Stark"	"Home"	"first seen"
"Lyanna Stark"	"The"	"last seen"
"Lyanna Stark"	"Dead"	"status"
"Lyanna Stark"	"Jon Snow"	"death"
"Lyanna Stark"	"Winterfell"	"origin"
"Lyanna Stark"	"House Stark"	"allegiance"
"Lyanna Stark"	"Northmen"	"culture"
"Lyanna Stark"	"Old"	"religion"
"Lyanna Stark"	"Rickard Stark"	"father"
"Lyanna Stark"	"Jon Snow"	"children"
"Lyanna Stark"	"Benjen Stark"	"siblings"
"Rickard Stark"	"The Door"	"first seen"
"Rickard Stark"	"Kill the Boy"	"mentioned in"
"Rickard Stark"	"Warden of the North"	"titles"
"Rickard Stark"	"Dead"	"status"
"Rickard Stark"	"Aerys II Targaryen"	"death"
"Rickard Stark"	"Winterfell"	"origin"
"Rickard Stark"	"House Stark"	"allegiance"
"Rickard Stark"	"Eddard Stark"	"successor"
"Rickard Stark"	"Northmen"	"culture"
"Rickard Stark"	"Old"	"religion"
"Rickard Stark"	"Benjen Stark"	"children"
"Steffon (turnip cart driver)"	"A Golden Crown"	"first seen"
"Steffon (turnip cart driver)"	"Alive"	"status"
"Steffon (turnip cart driver)"	"Northmen"	"culture"
"Steve"	"No One"	"appeared in"
"Steve"	"Dead"	"status"
"Steve"	"Sandor Clegane"	"death"
"Steve"	"Brotherhood Without Banners"	"allegiance"
"Stiv"	"A Golden Crown"	"appeared in"
"Stiv"	"Dead"	"status"
"Stiv"	"Theon Greyjoy"	"death"
"Stiv"	"Free Folk"	"allegiance"
"Lollys Stokeworth"	"The"	"appeared in"
"Lollys Stokeworth"	"Mockingbird"	"mentioned in"
"Lollys Stokeworth"	"Alive"	"status"
"Lollys Stokeworth"	"Castle Stokeworth"	"origin"
"Lollys Stokeworth"	"House Stokeworth"	"allegiance"
"Lollys Stokeworth"	"Andal"	"culture"
"Lollys Stokeworth"	"Falyse Stokeworth"	"siblings"
"Samwell Stone"	"The Wars to Come"	"first seen"
"Samwell Stone"	"1 (<a href=\"#Appearances"	"appeared in"
"Samwell Stone"	"Master-at-Arms"	"titles"
"Samwell Stone"	"Sam"	"also known as"
"Samwell Stone"	"Alive"	"status"
"Samwell Stone"	"The"	"origin"
"Samwell Stone"	"House Royce"	"allegiance"
"Street tough 2"	"The"	"appeared in"
"Street tough 2"	"Alive"	"status"
"Street tough 2"	"Braavos"	"origin"
"Street tough 2"	"Braavos"	"culture"
"Tansy"	"The Lion and the Rose"	"appeared in"
"Tansy"	"Unbowed, Unbent, Unbroken"	"mentioned in"
"Tansy"	"Dead"	"status"
"Tansy"	"Ramsay Bolton"	"death"
"Tansy"	"House Bolton"	"allegiance"
"Tansy"	"Northmen"	"culture"
"Tansy"	"Ramsay Bolton"	"lovers"
"Tavern girl"	"Alive"	"status"
"Theon's"	"A Man Without Honor"	"appeared in"
"Theon's"	"Dead"	"status"
"Theon's"	"Iron Islands"	"origin"
"Theon's"	"House Greyjoy"	"allegiance"
"Theon's"	"Ironborn"	"culture"
"Thin man"	"The gambler"	"also known as"
"Thin man"	"Alive"	"status"
"Thin man"	"Braavos"	"origin"
"Thin man"	"Braavos"	"culture"
"Thirteen member"	"Garden of Bones"	"first seen"
"Thirteen member"	"A Man Without Honor"	"last seen"
"Thirteen member"	"Dead"	"status"
"Thirteen member"	"Pyat Pree"	"death"
"Thirteen member"	"Qarth"	"origin"
"Thirteen member"	"The Thirteen"	"allegiance"
"Thirteen member"	"Qarth"	"culture"
"Todder"	"You Win or You Die"	"first seen"
"Todder"	"Toad"	"also known as"
"Todder"	"Alive"	"status"
"Todder"	"Night's Watch"	"allegiance"
"Tom"	"Valar Morghulis"	"appeared in"
"Tom"	"Dead"	"status"
"Tom"	"Brienne of Tarth"	"death"
"Tom"	"House Stark"	"allegiance"
"Tom"	"Northmen"	"culture"
"Tomard"	"You Win or You Die"	"appeared in"
"Tomard"	"Alive"	"status"
"Tomard"	"Winterfell"	"origin"
"Tomard"	"House Stark"	"allegiance"
"Tomard"	"Northmen"	"culture"
"Tomard"	"Old"	"religion"
"Tommen's manservant"	"The"	"appeared in"
"Tommen's manservant"	"Alive"	"status"
"Tortured prisoner"	"Garden of Bones"	"appeared in"
"Tortured prisoner"	"Dead"	"status"
"Tortured prisoner"	"The Tickler"	"death"
"Tortured slave"	"Walk of Punishment"	"appeared in"
"Tortured slave"	"Uncertain"	"status"
"Tortured slave"	"Astapor"	"origin"
"Tortured slave"	"Astapor"	"culture"
"Tourney Herald"	"The North Remembers"	"appeared in"
"Tourney Herald"	"Alive"	"status"
"Tourney Herald"	"House"	"allegiance"
"Tully (son of Edmure)"	"The"	"mentioned in"
"Tully (son of Edmure)"	"Alive"	"status"
"Tully (son of Edmure)"	"The Twins"	"origin"
"Tully (son of Edmure)"	"House Tully"	"allegiance"
"Tully (son of Edmure)"	"Andals"	"culture"
"Tully (son of Edmure)"	"Edmure Tully"	"father"
"Tully bannerman (No One)"	"No One"	"appeared in"
"Tully bannerman (No One)"	"Alive"	"status"
"Tully bannerman (No One)"	"Westeros"	"origin"
"Tully bannerman (No One)"	"House Tully"	"allegiance"
"Hoster Tully"	"Walk of Punishment"	"appeared in"
"Hoster Tully"	"Mockingbird"	"mentioned in"
"Hoster Tully"	"Lord"	"titles"
"Hoster Tully"	"Old Tully"	"also known as"
"Hoster Tully"	"Dead"	"status"
"Hoster Tully"	"Riverrun"	"origin"
"Hoster Tully"	"House Tully"	"allegiance"
"Hoster Tully"	"Edmure Tully"	"successor"
"Hoster Tully"	"Andal"	"culture"
"Hoster Tully"	"Edmure Tully"	"children"
"Hoster Tully"	"Brynden Tully"	"siblings"
"Tyrell bannerman"	"Blood of My Blood"	"appeared in"
"Tyrell bannerman"	"Destruction of the Great"	"status"
"Tyrell bannerman"	"Westeros"	"origin"
"Tyrell bannerman"	"House Tyrell"	"allegiance"
"Tyrell guard (The Gift)"	"Alive"	"status"
"Tyrell guard (The Gift)"	"King's Landing"	"origin"
"Tyrell guard (The Gift)"	"House Tyrell"	"allegiance"
"Tyrell lady"	"And Now His Watch is Ended"	"first seen"
"Tyrell lady"	"Uncertain"	"status"
"Tyrell lady"	"House Tyrell"	"allegiance"
"Tyrell servant"	"Dark Wings, Dark Words"	"appeared in"
"Tyrell servant"	"Great"	"status"
"Tyrell servant"	"House Tyrell"	"allegiance"
"Greizhen mo Ullhor"	"Walk of Punishment"	"first seen"
"Greizhen mo Ullhor"	"And Now His Watch is Ended"	"last seen"
"Greizhen mo Ullhor"	"Good Master"	"titles"
"Greizhen mo Ullhor"	"Dead"	"status"
"Greizhen mo Ullhor"	"Daenerys Targaryen"	"death"
"Greizhen mo Ullhor"	"Astapor"	"origin"
"Greizhen mo Ullhor"	"Good Masters"	"allegiance"
"Greizhen mo Ullhor"	"Astapor"	"culture"
"Unidentified Warlock"	"Valar Dohaeris"	"appeared in"
"Unidentified Warlock"	"Alive"	"status"
"Unidentified Warlock"	"Qarth"	"origin"
"Unidentified Warlock"	"Warlocks"	"allegiance"
"Unidentified Warlock"	"Qarth"	"culture"
"Unsullied 1 (Oathkeeper)"	"Oathkeeper"	"first seen"
"Unsullied 1 (Oathkeeper)"	"Alive"	"status"
"Unsullied 1 (Oathkeeper)"	"Astapor"	"origin"
"Unsullied 1 (Oathkeeper)"	"House Targaryen"	"allegiance"
"Unsullied 1 (Valar Dohaeris)"	"Valar Dohaeris"	"appeared in"
"Unsullied 1 (Valar Dohaeris)"	"Alive"	"status"
"Unsullied 1 (Valar Dohaeris)"	"Astapor"	"origin"
"Unsullied 1 (Valar Dohaeris)"	"Unsullied"	"allegiance"
"Unsullied 1 (Valar Dohaeris)"	"Astapor"	"culture"
"Valyrian slave"	"Oathkeeper"	"first seen"
"Valyrian slave"	"Alive"	"status"
"Valyrian slave"	"Meereen"	"origin"
"Valyrian slave"	"Valyrian"	"culture"
"Varly"	"You Win or You Die"	"appeared in"
"Varly"	"Dead"	"status"
"Varly"	"Goldcloaks"	"death"
"Varly"	"Winterfell"	"origin"
"Varly"	"House Stark"	"allegiance"
"Varly"	"Northmen"	"culture"
"Violet"	"Unbowed, Unbent, Unbroken"	"mentioned in"
"Violet"	"Dead"	"status"
"Violet"	"Ramsay Bolton"	"death"
"Violet"	"House Bolton"	"allegiance"
"Violet"	"Northmen"	"culture"
"Violet"	"Ramsay Bolton"	"lovers"
"Volantene courtesan (The Broken Man)"	"The Broken Man"	"appeared in"
"Volantene courtesan (The Broken Man)"	"Volantis"	"origin"
"Volantene courtesan (The Broken Man)"	"Volantis"	"culture"
"Wallen"	"A Golden Crown"	"appeared in"
"Wallen"	"Dead"	"status"
"Wallen"	"Robb Stark"	"death"
"Wallen"	"Night's Watch"	"allegiance"
"Wallen"	"Free Folk"	"culture"
"Water Dancer"	"The"	"appeared in"
"Water Dancer"	"Dead"	"status"
"Water Dancer"	"Great Games"	"death"
"Weasel"	"Garden of Bones"	"appeared in"
"Weasel"	"Alive"	"status"
"Weasel"	"House Clegane"	"allegiance"
"Wendel"	"The Sword in the Darkness"	"first seen"
"Wendel"	"The Sword in the Darkness"	"last seen"
"Wendel"	"Uncertain"	"status"
"Wendel"	"Night's Watch"	"allegiance"
"Westerosi trader"	"The Broken Man"	"first seen"
"Westerosi trader"	"Alive"	"status"
"White Walker (Oathkeeper)"	"Oathkeeper"	"appeared in"
"White Walker (Oathkeeper)"	"Alive"	"status"
"White Walker (Oathkeeper)"	"White Walkers"	"allegiance"
"White Walker (Oathkeeper)"	"White Walker"	"culture"
"White Walker (The Door)"	"The Door"	"first seen"
"White Walker (The Door)"	"White Walker (The Door)"	"appeared in"
"White Walker (The Door)"	"Dead"	"status"
"White Walker (The Door)"	"Meera Reed"	"death"
"White Walker (The Door)"	"Lands of Always Winter"	"origin"
"White Walker (The Door)"	"Night King"	"allegiance"
"White Walker (The Door)"	"White Walkers"	"culture"
"White Walker (Winter is Coming)"	"Alive"	"status"
"White Walker (Winter is Coming)"	"White Walkers"	"allegiance"
"White Walker (Winter is Coming)"	"White Walker"	"culture"
"Whore (Mother of Dragons)"	"The"	"also known as"
"Whore (Mother of Dragons)"	"Alive"	"status"
"Whore (Mother of Dragons)"	"Volantis"	"origin"
"Whore (Mother of Dragons)"	"Volantis"	"culture"
"Whore (The Crone)"	"Alive"	"status"
"Whore (The Maiden)"	"Alive"	"status"
"Whore (The Mother)"	"Alive"	"status"
"Whore (The Smith)"	"Alive"	"status"
"Whore (The Stranger)"	"Alive"	"status"
"Whore (Two Swords)"	"Two Swords"	"appeared in"
"Whore (Two Swords)"	"Alive"	"status"
"Whore (Two Swords)"	"Petyr Baelish"	"allegiance"
"Wildling girl"	"The Lion and the Rose"	"last seen"
"Wildling girl"	"Dead"	"status"
"Wildling girl"	"Wight"	"culture"
"Will"	"Ranger"	"titles"
"Will"	"Dead"	"status"
"Will"	"Eddard Stark"	"death"
"Will"	"Night's Watch"	"allegiance"
"Willa"	"Alive"	"status"
"Willa"	"Free Folk"	"allegiance"
"Willa"	"Free Folk"	"culture"
"Willa"	"Old"	"religion"
"Willa"	"Karsi"	"mother"
"Willa"	"Johnna"	"siblings"
"Wineseller"	"You Win or You Die"	"appeared in"
"Wineseller"	"Dead"	"status"
"Wineseller"	"Daenerys Targaryen"	"death"
"Wineseller"	"Varys"	"allegiance"
"Winter town man"	"Kill the Boy"	"appeared in"
"Winter town man"	"Alive"	"status"
"Winter town man"	"North"	"origin"
"Winterfell worker"	"Winterfell"	"origin"
"Wounded Lannister"	"Garden of Bones"	"appeared in"
"Wounded Lannister"	"Alive"	"status"
"Wounded Lannister"	"Lannisport"	"origin"
"Wounded Lannister"	"House Lannister"	"allegiance"
"Young bravo"	"The"	"appeared in"
"Young bravo"	"Alive"	"status"
"Young bravo"	"Braavos"	"origin"
"Young bravo"	"Braavos"	"culture"
"Yunkai'i slave 1"	"Mhysa"	"appeared in"
"Yunkai'i slave 1"	"Alive"	"status"
"Yunkai'i slave 1"	"Yunkai"	"origin"
"Yunkai'i slave 1"	"Daenerys Targaryen"	"allegiance"
"Yunkai'i slave 1"	"Yunkai"	"culture"
"Yunkai'i slave 2"	"Mhysa"	"appeared in"
"Yunkai'i slave 2"	"Alive"	"status"
"Yunkai'i slave 2"	"Yunkai"	"origin"
"Yunkai'i slave 2"	"Daenerys Targaryen"	"allegiance"
"Yunkai'i slave 2"	"Yunkai"	"culture"
"Yunkai'i slave 3"	"Mhysa"	"appeared in"
"Yunkai'i slave 3"	"Alive"	"status"
"Yunkai'i slave 3"	"Yunkai"	"origin"
"Yunkai'i slave 3"	"Daenerys Targaryen"	"allegiance"
"Yunkai'i slave 3"	"Yunkai"	"culture"
"Yunkai'i slave 4"	"Mhysa"	"appeared in"
"Yunkai'i slave 4"	"Alive"	"status"
"Yunkai'i slave 4"	"Yunkai"	"origin"
"Yunkai'i slave 4"	"Daenerys Targaryen"	"allegiance"
"Yunkai'i slave 4"	"Yunkai"	"culture"
"Yunkai'i slave 5"	"Mhysa"	"appeared in"
"Yunkai'i slave 5"	"Alive"	"status"
"Yunkai'i slave 5"	"Yunkai"	"origin"
"Yunkai'i slave 5"	"Daenerys Targaryen"	"allegiance"
"Yunkai'i slave 5"	"Yunkai"	"culture"
