"profession";"duration";"wage1";"wage2";"wage3";"cola";"hours";"pension";"stby_pay";"shift_diff";"educ_allow";"holidays";"vacation";"lngtrm_disabil";"dntl_ins";"breavement";"Empl.hplan";"consent"
"505";"2";"4.52";"4.81";"5.14";"tcf";"36";"";"-1";"3";"maybe";"11";"generous";"";"full";"no";"none";"good"
"506";"2";"-4.99";"4";;"";"39";"none";"29";"4";"maybe";"13";"average";"";"none";"yes";"";"good"
"507";"2";"3.49";"37.04";;"tcf";"38";"";"-1";;"yes";"13";"below average";"";"none";"";"half";"good"
"508";"2";"2";"4.81";"2.01";"none";"36";"ret_allw";;"2";"";"10";"below average";"";"";"yes";"";"bad"
"509";"1";"6.92";"2.98";;"none";"37";"";"29";;"no";"12";"average";"no";"half";"yes";"";"bad"
"510";"1";"3.98";"3.97";;"none";"40";"ret_allw";;"4";"";"12";"below average";"";"";"yes";"";"good"
"511";"3";"3.04";"2.02";"4.57";"tcf";"36";"";;;"no";"10";"generous";"";"half";"";"full";"good"
"512";"2";"1.99";"2.52";;"tcf";"41";"";"13";;"";"12";"below average";"yes";"full";"yes";"half";"good"
"513";"2";"4.51";"3.99";;"tc";"11";"";;"3";"yes";"3";"generous";"yes";"";"";"full";"good"
"514";"2";"4.26";"5.04";;"";"40";"";;;"maybe";"20";"generous";"no";"";"yes";"";"bad"
"515";"3";"4.49";"4.39";;"";"39";"none";;;"maybe";"8";"generous";"";"";"";"";"good"
"516";"2";"3.02";;;"";"41";"none";;;"no";"11";"average";"";"full";"";"half";"good"
"517";"1";"2.98";"4.04";;"";"37";"empl_contr";"13";;"yes";"10";"generous";"";"full";"";"half";"good"
"518";"3";"-4.51";;"4.97";"none";"40";"none";;;"";"11";"below average";"";"";"yes";"";"good"
"519";"3";"4.02";;;"tc";"27";"none";;;"";"12";"generous";"";"none";"";"half";"bad"
"520";"1";"2.02";"3.98";"2.3";"";"27";"none";"-1";;"no";;"below average";"yes";"";"yes";".5";"good"
"521";"2";"2.01";"3.98";"4.57";"";"10";"empl_contr";;;"yes";"11";"generous";"";"full";"yes";"none";"bad"
"522";"3";"3.49";"2.53";;"none";"36";"none";;"2";"maybe";;"generous";"";"none";"";"none";"good"
"523";"2";"-4.49";"2.48";;"none";"39";"";;"3";"no";"12";"below average";"";"half";"";"";"good"
"524";"1";"6.91";;;"";"38";"none";;;"";"11";"generous";"";"half";"yes";"";"good"
"525";"3";"3.52";"2.49";;"tcf";"39";"";"2";;"no";"4";"";"no";"full";"";"";"good"
"526";"2";"4.46";;;"";"38";"none";"12";;"yes";"11";"below average";"yes";"half";"yes";"";"good"
"527";"2";"4";;;"tc";"39";"empl_contr";"-1";"3";"no";"10";"average";"";"";"yes";"";"bad"
"528";"1";"1.97";"5.02";"4.64";"";"38";"empl_contr";;;"maybe";"11";"generous";"yes";"full";"";"";"good"
"529";"3";"2.76";"2.01";;"tc";"36";"";"29";"25";"";"12";"below average";"yes";"full";"yes";"half";"??"
"530";"3";"-4.52";"5.84";;"none";"39";"";;"3";"yes";"12";"average";"yes";"";"yes";"half";"good"
"531";"3";"3";"1.98";"1.99";"";"37";"";"2";"3";"";"12";"below average";"";"none";"";"";"good"
"532";"2";"2.81";"4.52";;"none";"38";"";;"10";"no";"10";"below average";"no";"full";"";"full";"??"
"533";"3";"-5";"4";;"tc";"39";"";;;"no";"11";"average";"";"";"yes";"full";"bad"
"534";"3";"5";"36.97";;"none";"35";"none";;"3";"no";"11";"below average";"yes";"none";"";"none";"good"
"535";"2";"3.01";"4";;"none";"41";"empl_contr";"-12";"5";"";"10";"average";"";"none";"yes";"full";"good"
"536";"3";"2.12";;"5.07";"";"38";"ret_allw";"4";"4";"maybe";"12";"generous";"";"";"";"half";"??"
"537";"3";"-4.51";"4.5";"5.01";"tc";"40";"";;;"no";"10";"generous";"";"";"";"";"good"
"538";"1";"1.97";"2";;"";"39";"";;;"yes";"12";"generous";"";"half";"yes";"full";"bad"
"539";"2";"2.77";"4.78";;"tc";"39";"";"29";"4";"yes";"14";"generous";"";"none";"";"none";"good"
"540";"1";"2.03";"2.53";"2.01";"tcf";"34";"";;;"";"21";"generous";"no";"half";"";"full";"good"
"541";"2";"-5";"7.03";;"";"10";"";;;"";"11";"average";"";"half";"yes";"full";"good"
"542";"2";"3.97";;;"";"39";"self payed";"-12";"3";"no";"9";"average";"";"";"";"";"bad"
"543";"1";"3.49";"3.98";;"none";"39";"";;"3";"no";"21";"generous";"";"full";"";"full";"bad"
"544";"2";"5.72";"5.01";"4.96";"none";"39";"none";;"1";"maybe";"12";"below average";"";"half";"yes";"full";"good"
"545";"2";"4.53";"3.98";;"";"34";"";;"3";"";"11";"below average";"";"none";"yes";"";"good"
"546";"1";"3.68";"36.98";;"tc";"41";"";"2";"4";"yes";"13";"average";"";"half";"";"";"??"
"547";"2";"4.5";"4.03";"4.99";"none";"40";"none";;;"no";"12";"below average";"";"half";"";"";"bad"
"548";"1";;"2.49";;"";"40";"none";;;"yes";"10";"below average";"no";"half";"";".5";"bad"
"549";"1";"1.99";"37.02";;"";"39";"";;"25";"yes";"10";"generous";"";"";"";"full";"bad"
"550";"2";"5.69";"4.03";"2.53";"";"10";"";;"3";"yes";"13";"average";"yes";"half";"";"full";"bad"
"551";"2";"-6.38";"4.77";"4.96";"";;"none";"29";;"";"11";"below average";"";"half";"yes";"";"bad"
"552";"2";"2.03";"4.5";"5";"tc";"39";"none";;;"";"10";"generous";"";"";"";"";"good"
"553";"2";"2.77";"2.99";;"none";"36";"";;"3";"";"11";"generous";"yes";"none";"";"full";"good"
"554";"2";"2.77";"4.49";;"";"40";"";"12";;"yes";"11";"average";"";"none";"";"full";"good"
"555";"2";"4.48";"2.52";;"";"40";"empl_contr";"29";"10";"no";"11";"";"";"half";"";"";"good"
"556";"3";"4.48";"4.01";;"none";"37";"";;;"";"22";"";"yes";"full";"no";"half";"bad"
"557";"3";"4.48";"4.01";;"tc";"40";"self payed";;"2";"";"11";"average";"";"half";"";"none";"bad"
"558";"1";"6.89";"6.36";;"tcf";"41";"none";"29";"5";"no";"11";"below average";"";"";"yes";"full";"good"
"559";"3";"-4.47";;"-4.99";"tc";"39";"ret_allw";;;"no";"4";"average";"yes";"";"";"full";"good"
"560";"1";"-4.47";;;"none";"41";"";;"5";"no";"12";"generous";"";"";"yes";"";"good"
"561";"1";"1.97";"36.96";;"tcf";;"";;;"no";"15";"below average";"yes";"";"yes";".5";"good"
"562";"2";"-4.51";"3.97";;"tcf";"40";"none";;;"";"10";"generous";"no";"half";"";"full";"good"
"563";"3";"2.99";"4.02";"4.61";"";;"ret_allw";;;"no";"16";"average";"no";"";"yes";".5";"good"
"564";"3";"2";"3.04";;"none";"39";"self payed";;;"";"11";"generous";"yes";"full";"";"half";"good"
"565";"2";"4";"24.98";"4.58";"none";"41";"empl_contr";"2";"5";"yes";"9";"";"yes";"half";"";"";"bad"
"566";"2";"2.79";"4.03";;"tc";"38";"";;;"yes";"12";"average";"";"none";"";"full";"good"
"567";"3";;"4.5";;"";"40";"none";;"3";"no";"10";"";"no";"full";"yes";"half";"good"
"568";"1";"-4.46";"2.51";;"";"37";"self payed";;;"";"21";"generous";"";"";"yes";"";"bad"
"569";"3";"3.54";"2.52";"-4.99";"tcf";"37";"none";"4";;"";"9";"average";"";"half";"yes";"full";"good"
"570";"2";"4";"3.96";;"tcf";"39";"";;;"no";"15";"average";"no";"";"";".5";"good"
"571";"2";"2.48";"4.53";"4.97";"none";;"none";"29";;"";"10";"generous";"";"half";"yes";"half";"good"
"572";"2";"2";;;"";"35";"ret_allw";;"0";"";"20";"generous";"";"none";"yes";"";"bad"
"573";"2";"2.03";"4.53";;"";"38";"";"-12";"4";"yes";"15";"below average";"";"full";"";".5";"good"
"574";"2";"3.03";;;"none";"39";"";"-12";"3";"";"11";"average";"";"";"yes";"";"bad"
"575";"3";"4.99";"4.46";"4.63";"";"36";"none";;"4";"";"11";"generous";"";"";"yes";"half";"good"
"576";"1";"3.48";;;"";"39";"empl_contr";;"5";"";"9";"below average";"no";"none";"";".5";"good"
"577";"1";"2.02";"5.01";;"none";"61";"self payed";;;"maybe";"9";"below average";"";"";"yes";"none";"good"
"578";"1";"2.78";;;"";"38";"";"12";;"maybe";"10";"generous";"";"none";"";"full";"good"
"579";"3";"2.03";"4.47";;"tcf";"37";"empl_contr";;;"maybe";"10";"below average";"no";"";"";"full";"bad"
"580";"3";"2.04";"2.47";;"none";"40";"";;"2";"yes";"11";"generous";"yes";"none";"yes";"none";"bad"
"581";"2";;"2.98";;"none";"39";"empl_contr";;;"";"10";"generous";"";"";"";"";"good"
"582";"1";"2.99";;"2.32";"none";"41";"";;"4";"no";"10";"generous";"";"full";"maybe";"full";"good"
"583";"3";"4.52";"7.01";;"tc";"35";"";;"10";"no";;"below average";"yes";"half";"yes";"full";"??"
"584";"2";"4.29";;"4.57";"tc";"39";"";"-12";"4";"";;"below average";"yes";"half";"yes";"full";"bad"
"585";"1";"2.49";"4.49";;"tc";"37";"";"-1";"5";"yes";"11";"average";"";"full";"yes";"";"bad"
"586";"2";"-4.54";"4.48";;"";"41";"ret_allw";;;"no";"10";"below average";"yes";"full";"";"half";"good"
"587";"3";"4.34";"3.97";;"tc";;"none";;"4";"no";"12";"below average";"";"half";"";"half";"bad"
"588";"2";"4.98";;;"";"41";"";;;"";"12";"generous";"no";"";"";"full";"good"
"589";"2";"4.52";"4.49";;"";"38";"empl_contr";"2";"6";"";"11";"below average";"yes";"half";"";".5";"bad"
"590";"1";"1.98";;;"none";;"none";"-1";;"no";"9";"below average";"";"none";"";"full";"bad"
"591";;"2.96";"3.99";;"none";"38";"none";;"2";"maybe";"9";"below average";"";"";"yes";"full";"good"
"592";"2";"4.03";"4.47";;"none";"36";"";;"4";"";"12";"generous";"";"";"yes";"";"good"
"593";"3";"3";;"4.97";"";"36";"self payed";;;"";"5";"below average";"";"half";"yes";".5";"good"
"594";;"2.99";"4.81";"2.03";"tcf";"36";"";"29";"2";"";"12";"below average";"yes";"none";"";".5";"??"
"595";"2";"3.98";"3.96";"2.02";"none";"40";"ret_allw";;"1";"";"12";"below average";"";"";"yes";"half";"good"
"596";"3";"3.02";"5.78";;"none";"40";"";;"6";"";"12";"generous";"yes";"";"";"full";"bad"
"597";"2";"1.96";"4.02";;"tcf";"39";"empl_contr";;;"no";"3";"";"yes";"full";"";"none";"good"
"598";"2";"-5.04";;"1.96";"none";"9";"";;"4";"no";"10";"average";"";"none";"";"";"good"
"599";"2";;"4.03";"5.11";"tcf";"36";"none";;;"no";"5";"below average";"";"half";"";"";"good"
"600";"2";"3.54";"2.52";"2.07";"none";;"";;"25";"no";"11";"average";"yes";"full";"yes";"";"good"
